PARK,PARK_NO,NAME,the_geom,X_COORD,Y_COORD,ARTIST,OWNER,GISOBJID
LINCOLN (ABRAHAM),100,Caf� Brauer Ceramic Tile Murals,POINT (-87.63384934900111 41.91910107794697),-87.63384935,41.91910108,Rookwood Potteries,CPD,6184
MCKINLEY (WILLIAM),23,Donnersberger Bas-relief,POINT (-87.68243693294606 41.8236023591456),-87.68243693,41.82360236,Paul Fjelde,CPD,6185
NORTHERLY ISLAND,34,Adler Planetarium Sculptural Relief Panels,POINT (-87.60651159223796 41.86642544443458),-87.60651159,41.86642545,Alfonso Iannelli,Adler Planetarium,6186
NORTHERLY ISLAND,34,Signal: Bon Voyage,POINT (-87.60990970004023 41.86499701048812),-87.6099097,41.86499701,Edmond Gueringer,CPD,6187
OGDEN (WILLIAM),8,Untitled Mosaic,POINT (-87.65541164257311 41.7750487550995),-87.65541164,41.77504876,Darlene McGhee,CPD,6188
OGDEN (WILLIAM),8,Untitled Mural,POINT (-87.65524654004585 41.775235716692315),-87.65524654,41.77523572,Jesse Shipley & Victoria Bianco,CPD,6189
PALMER (POTTER),13,Early Settlement Series,POINT (-87.61657220612778 41.69191943356632),-87.61657221,41.69191943,James Edwin McBurney,CPD,6190
PALMER SQUARE,539,Velveteen Rabbit Playground Art,POINT (-87.7045357067657 41.921117894443874),-87.70453571,41.9211179,"Roman Villareal et al, CPAG",CPD,6191
PETERSON (PAHR SAMUEL),452,Mural,POINT (-87.72070654744581 41.98690977942338),-87.72070655,41.98690978,Unknown,CPD,6192
TOM (PING) MEML.,481,Return of the Yellow Cranes,POINT (-87.6325242595476 41.85907605373187),-87.63252426,41.85907605,Liu Zhengde,CPD,6193
PORTAGE,147,The Nature of the Place,POINT (-87.76372380576544 41.955683237112304),-87.76372381,41.95568324,Corinne D. Peterson & Sonata Kazimieraitiene,CPD,6194
PULASKI (CASIMER),217,Proscenium Arch Mural,POINT (-87.66315366927617 41.90684187117982),-87.66315367,41.90684187,James G. Gilbert,CPD,6196
PULASKI (CASIMER),217,Tower Room Mural,POINT (-87.66353209399418 41.90690395609292),-87.66353209,41.90690396,Unknown,CPD,6197
RIVER,186,Pottawattomie Village,POINT (-87.70195882694871 41.97414148694447),-87.70195883,41.97414149,"Pottawattomie Art Class, George Hruska",CPD,6198
RONAN (GEORGE),275,Multi-Ethnic Sculpture Park (Happy Family),POINT (-87.70342993275187 41.97027400561318),-87.70342993,41.97027401,"Shenchen Xu, Indira Johnson",North River Commission,6199
RUTHERFORD SAYRE,127,Assorted Mosaics,POINT (-87.79738234018991 41.92074850420832),-87.79738234,41.92074851,Carol Tarnoff,CPD,6200
RUTHERFORD SAYRE,127,Thomas A. Rutherford Portrait,POINT (-87.7969997752145 41.92087110419825),-87.79699978,41.92087111,Unknown,CPD,6201
SENIOR CITIZENS MEML.,455,Playground Art,POINT (-87.68545830728753 41.92290149550988),-87.68545831,41.9229015,Bucktown Arts Fest,CPD,6202
SEWARD (WILLIAM),108,I Saw Something Silly in the Park Today,POINT (-87.63781333481941 41.90279947551308),-87.63781333,41.90279948,Carolyn Elaine,CPD,6203
SEWARD (WILLIAM),108,Mosaic,POINT (-87.63818578664964 41.90273461628864),-87.63818579,41.90273462,Shana Pearlmutter,CPD,6204
SEWARD (WILLIAM),108,The Promise of Summer,POINT (-87.63764636183598 41.90268449757257),-87.63764636,41.9026845,Patricia M. Murphy,CPD,6205
SHERMAN (JOHN),7,American History Series,POINT (-87.65718746174474 41.79842917515632),-87.65718746,41.79842918,S.B. Braidwood et al,CPD,6206
SHERMAN (JOHN),7,Mosaic,POINT (-87.65742373627948 41.798514987676455),-87.65742374,41.79851499,Barbara Miller,CPD,6207
WALSH (JOHN),393,Playground Art,POINT (-87.66859054760498 41.91371601214753),-87.66859055,41.91371601,Jen Z. Johns,CPD,6208
